Employee ID,Employee Name,Department,Date,Check-In Time,Check-Out Time,Work Duration,Break Duration,Overtime,Attendance Status
E001,John Doe,Engineering,2026-07-01,09:00,18:00,8.00,1.00,0.00,Present
E001,John Doe,Engineering,2026-07-02,09:00,16:30,6.50,1.00,0.00,Present
E001,John Doe,Engineering,2026-07-03,09:00,18:30,8.00,1.00,0.50,Present
E001,John Doe,Engineering,2026-07-04,09:00,18:00,8.00,1.00,0.00,Present
E001,John Doe,Engineering,2026-07-07,09:00,18:00,8.00,1.00,0.00,Present
E001,John Doe,Engineering,2026-07-08,09:00,17:00,7.25,1.00,0.00,Present
E001,John Doe,Engineering,2026-07-09,09:00,18:00,8.00,1.00,0.00,Present
E001,John Doe,Engineering,2026-07-10,09:00,18:00,8.00,1.00,0.00,Present
E002,Jane Smith,HR,2026-07-01,09:00,18:00,8.00,1.00,0.00,Present
E002,Jane Smith,HR,2026-07-02,,,,,Leave
E002,Jane Smith,HR,2026-07-03,09:00,18:00,8.00,1.00,0.00,Present
E002,Jane Smith,HR,2026-07-04,09:00,18:00,8.00,1.00,0.00,Present
E002,Jane Smith,HR,2026-07-07,09:00,18:00,8.00,1.00,0.00,Present
E002,Jane Smith,HR,2026-07-08,09:00,18:00,8.00,1.00,0.00,Present
E002,Jane Smith,HR,2026-07-09,09:00,18:00,8.00,1.00,0.00,Present
E002,Jane Smith,HR,2026-07-10,09:00,18:00,8.00,1.00,0.00,Present
E003,Alex Brown,Operations,2026-07-01,09:15,18:00,8.00,1.00,0.25,Present
E003,Alex Brown,Operations,2026-07-02,09:00,,,0.50,0.00,Missing Checkout
E003,Alex Brown,Operations,2026-07-03,09:00,18:00,8.00,1.00,0.00,Present
E003,Alex Brown,Operations,2026-07-04,,,,,,Absent
E003,Alex Brown,Operations,2026-07-07,09:00,18:00,8.00,1.00,0.00,Present
E003,Alex Brown,Operations,2026-07-08,09:00,16:00,6.00,1.00,0.00,Present
E003,Alex Brown,Operations,2026-07-09,09:00,18:00,8.00,1.00,0.00,Present
E003,Alex Brown,Operations,2026-07-10,09:00,18:00,8.00,1.00,0.00,Present
E004,Priya Patel,Finance,2026-07-01,09:00,18:00,8.00,1.00,0.00,Present
E004,Priya Patel,Finance,2026-07-02,09:00,18:00,8.00,1.00,0.00,Present
E004,Priya Patel,Finance,2026-07-03,09:00,18:00,8.00,1.00,0.00,Present
E004,Priya Patel,Finance,2026-07-04,09:00,18:00,8.00,1.00,0.00,Present
E004,Priya Patel,Finance,2026-07-07,09:00,18:00,8.00,1.00,0.00,Present
E004,Priya Patel,Finance,2026-07-08,09:00,18:00,8.00,1.00,0.00,Present
E004,Priya Patel,Finance,2026-07-09,09:00,18:00,8.00,1.00,0.00,Present
E004,Priya Patel,Finance,2026-07-10,09:00,18:00,8.00,1.00,0.00,Present
E005,Michael Chen,Sales,2026-07-01,09:00,18:00,8.00,1.00,0.00,Present
E005,Michael Chen,Sales,2026-07-02,09:00,18:00,8.00,1.00,0.00,Present
E005,Michael Chen,Sales,2026-07-03,,,,,,Absent
E005,Michael Chen,Sales,2026-07-04,,,,,,Absent
E005,Michael Chen,Sales,2026-07-07,09:00,18:00,8.00,1.00,0.00,Present
E005,Michael Chen,Sales,2026-07-08,09:00,15:30,5.50,1.00,0.00,Present
E005,Michael Chen,Sales,2026-07-09,09:00,18:00,8.00,1.00,0.00,Present
E005,Michael Chen,Sales,2026-07-10,09:00,18:00,8.00,1.00,0.00,Present
